trip_id,driver_id,route_id,distance_km,stops,weather_score,traffic_score,hour_of_day,day_of_week,eta_minutes
147,6,6,240.37,5,0.812,0.556,18,4,317.1
148,27,23,481.12,6,0.868,0.721,9,4,616.1
149,20,23,61.46,8,0.213,0.657,7,6,136.0
150,24,8,420.62,3,0.807,0.845,19,4,544.1
151,44,36,19.31,4,0.029,0.273,9,2,57.1
152,10,37,363.25,1,0.142,0.633,0,0,470.1
153,48,34,122.25,6,0.454,0.157,9,5,175.5
154,39,6,486.42,2,0.157,0.618,21,0,627.3
155,18,29,365.76,7,0.607,0.414,6,6,476.0
156,8,19,374.63,7,0.527,0.308,7,3,488.6
157,39,4,9.19,4,0.945,0.767,8,2,44.8
158,48,28,100.75,6,0.533,0.23,17,6,155.1
159,43,23,44.28,0,0.436,0.46,2,6,71.5
160,26,27,162.79,6,0.021,0.325,19,3,243.1
161,54,24,53.03,1,0.243,0.589,16,0,90.5
162,22,15,186.52,2,0.076,0.633,16,4,262.6
163,13,23,196.35,2,0.236,0.146,6,1,252.3
164,42,5,101.54,7,0.464,0.564,18,3,164.4
165,44,37,355.43,5,0.864,0.627,4,3,465.7
166,20,18,327.32,5,0.507,0.31,14,0,427.2
167,4,24,458.27,1,0.645,0.977,2,4,579.9
168,38,36,525.06,0,0.45,0.81,20,1,656.4
169,21,39,264.22,2,0.958,0.451,10,5,340.9
170,3,16,390.65,7,0.524,0.61,11,2,518.6
171,59,19,216.14,5,0.679,0.052,20,5,281.2
172,36,25,159.86,2,0.333,0.583,4,2,226.5
173,20,26,75.28,1,0.31,0.377,10,6,117.9
174,48,34,55.93,6,0.508,0.018,9,1,100.4
175,14,22,521.48,7,0.192,1.0,4,0,685.4
176,33,35,460.14,8,0.038,0.337,19,1,609.8
177,39,25,89.07,2,0.831,0.771,5,5,131.9
178,44,16,533.43,4,0.752,0.784,7,4,679.0
179,16,20,531.25,7,0.904,0.194,21,4,672.7
180,19,25,279.08,6,0.966,0.817,19,1,376.4
181,56,17,33.44,7,0.874,0.555,3,5,84.8
182,19,6,420.9,4,0.449,0.513,13,0,533.7
183,59,15,450.1,5,0.93,0.415,12,4,566.3
184,6,24,127.37,5,0.931,0.839,20,2,195.2
185,51,10,79.99,4,0.917,0.472,4,6,121.8
186,1,6,15.36,3,0.835,0.549,23,4,40.9
187,34,28,65.6,4,0.238,0.122,7,3,103.6
188,5,8,460.99,7,0.597,0.016,16,4,579.9
189,16,10,163.74,0,0.615,0.241,13,1,207.4
190,24,5,524.61,8,0.507,0.988,17,0,688.2
191,25,31,28.73,6,0.981,0.254,0,2,63.0
192,47,7,425.47,5,0.133,0.352,10,6,546.3
193,42,12,457.56,7,0.981,0.479,5,6,590.0
194,30,3,164.93,0,0.791,0.886,10,2,228.0
195,33,26,544.07,8,0.473,0.037,20,1,687.9
196,4,22,153.9,5,0.437,0.4,14,3,228.4
197,22,12,275.43,7,0.367,0.797,8,6,388.1
198,28,39,547.33,2,0.545,0.321,2,2,680.7
199,43,19,172.04,6,0.167,0.444,14,0,249.8
200,40,28,154.63,0,0.075,0.638,11,4,206.7
201,52,11,524.27,2,0.849,0.678,14,0,657.4
202,42,24,202.37,0,0.605,0.679,11,2,267.8
203,29,5,317.79,8,0.367,0.314,8,1,427.6
204,12,32,287.17,8,0.118,0.775,22,3,405.0
205,14,40,160.64,7,0.2,0.136,2,3,235.6
206,6,21,368.97,1,0.55,0.29,9,6,465.9
207,11,12,437.56,8,0.224,0.985,4,1,589.6
208,36,37,206.06,8,0.13,0.884,2,2,309.5
209,26,31,291.5,6,0.823,0.074,10,5,379.3
210,34,23,74.94,8,0.64,0.182,4,3,129.9
211,33,4,458.11,8,0.153,0.165,10,5,596.1
212,34,19,466.03,4,0.196,0.956,8,1,618.8
213,41,20,339.86,1,0.503,0.169,18,1,425.7
214,58,39,189.0,0,0.825,0.028,1,5,235.1
215,50,37,149.24,3,0.767,0.417,20,0,197.9
216,19,20,268.2,6,0.297,0.073,1,1,355.3
217,29,27,268.92,3,0.34,0.144,22,2,345.9
218,26,9,419.56,8,0.562,0.319,14,0,538.1
219,18,29,140.12,1,0.051,0.945,19,3,209.6
220,11,21,513.89,5,0.19,0.159,16,3,658.3
221,32,20,276.07,1,0.945,0.505,7,1,347.1
222,19,32,330.65,7,0.286,0.008,3,3,431.6
223,9,17,401.49,6,0.366,0.401,18,4,524.1
224,5,25,279.82,8,0.28,0.989,21,4,404.1
225,8,9,536.42,6,0.373,0.987,17,2,698.9
226,33,26,277.54,0,0.039,0.714,15,4,362.6
227,30,10,335.41,8,0.14,0.931,10,1,462.3
228,54,20,328.58,8,0.828,0.532,22,4,441.6
229,20,31,449.58,5,0.331,0.11,13,4,566.7
230,56,2,330.32,4,0.967,0.783,18,4,438.5
231,15,4,323.02,2,0.524,0.721,12,1,421.1
232,37,8,108.98,7,0.314,0.151,22,1,166.7
233,27,33,427.36,7,0.873,0.736,1,5,559.4
234,21,31,291.39,5,0.957,0.46,17,2,381.4
235,35,23,373.35,4,0.61,0.192,7,2,470.0
236,20,19,389.17,7,0.317,0.349,23,2,509.5
237,19,8,317.54,8,0.38,0.98,11,6,444.0
238,19,6,193.77,7,0.656,0.747,6,1,277.7
239,53,35,152.77,8,0.696,0.137,19,5,216.8
240,43,34,127.99,3,0.052,0.413,22,3,187.1
241,7,9,7.82,8,0.978,0.158,20,3,39.0
242,19,21,160.55,0,0.908,0.089,18,1,196.6
243,35,3,502.71,2,0.418,0.838,1,6,636.2
244,60,19,482.83,0,0.298,0.603,10,2,607.8
245,30,35,290.75,2,0.851,0.468,6,6,371.6
246,30,17,396.64,0,0.737,0.791,18,5,501.2
247,49,13,100.64,6,0.827,0.515,2,3,156.0
248,9,31,181.36,3,0.007,0.384,14,6,250.4
249,18,22,169.56,0,0.262,0.36,7,0,221.3
250,11,26,378.91,4,0.69,0.639,9,2,485.4
251,40,15,124.43,2,0.478,0.455,19,2,171.2
252,31,35,442.09,3,0.762,0.68,19,6,564.1
253,51,6,291.4,8,0.704,0.078,18,0,388.7
254,33,13,317.12,2,0.165,0.854,14,0,423.3
255,44,14,395.72,7,0.091,0.51,1,3,528.5
256,37,4,309.54,4,0.723,0.396,0,5,402.6
257,14,38,44.8,6,0.345,0.064,1,0,90.7
258,19,27,103.09,2,0.766,0.978,20,3,158.3
259,24,25,249.45,6,0.376,0.683,21,6,341.1
260,23,8,102.27,8,0.393,0.127,7,6,161.6
261,1,2,538.28,7,0.673,0.544,17,3,690.3
262,23,10,155.23,1,0.032,0.66,19,6,218.1
263,60,2,136.16,1,0.101,0.034,19,5,180.9
264,48,3,224.23,3,0.54,0.754,1,1,304.1
265,33,19,132.62,5,0.577,0.773,10,1,201.6
266,43,34,125.47,4,0.275,0.557,18,5,191.5
267,59,12,346.17,6,0.556,0.047,11,5,440.9
268,21,27,227.5,4,0.376,0.754,15,1,309.0
269,55,15,168.9,2,0.806,0.915,17,3,240.5
270,9,25,137.36,3,0.33,0.079,14,6,186.3
271,24,6,296.92,3,0.052,0.377,19,4,392.0
272,52,38,399.75,8,0.217,0.209,10,2,525.1
273,59,1,120.44,3,0.962,0.117,15,1,156.4
274,26,16,305.88,4,0.381,0.534,11,2,397.8
275,17,24,284.49,7,0.466,0.803,23,3,394.2
276,14,24,175.54,0,0.563,0.221,4,0,219.2
277,17,36,514.44,6,0.295,0.196,7,3,651.1
278,36,22,145.24,7,0.967,0.642,15,3,214.1
279,11,23,97.25,8,0.488,0.917,17,5,180.0
280,54,5,520.13,0,0.764,0.412,20,1,636.7
281,5,10,9.98,8,0.456,0.06,20,5,57.7
282,43,32,13.57,8,0.552,0.012,16,5,47.7
283,18,35,537.73,0,0.502,0.698,13,6,672.5
284,59,7,290.79,3,0.192,0.526,11,2,383.8
285,51,26,48.07,6,0.459,0.243,22,1,90.6
286,6,3,55.96,6,0.377,0.476,20,0,116.5
287,45,11,50.06,6,0.645,0.331,3,4,97.2
288,58,37,264.15,0,0.924,0.684,8,4,333.8
289,37,3,102.75,5,0.016,0.207,4,6,163.9
290,60,5,168.11,3,0.567,0.849,21,4,233.3
291,22,25,416.81,2,0.79,0.689,2,4,527.4
292,7,28,131.52,1,0.341,0.769,19,3,186.8
293,50,21,21.15,4,0.784,0.451,7,2,50.2
294,12,38,365.07,1,0.772,0.295,7,5,451.1
295,5,6,151.04,6,0.712,0.634,23,3,221.6
296,1,20,247.38,4,0.102,0.087,13,3,328.2
297,36,36,284.28,1,0.026,0.354,2,4,365.2
298,25,1,164.06,6,0.779,0.725,17,1,237.3
299,37,34,97.42,6,0.17,0.269,8,3,158.6
300,18,27,168.36,1,0.361,0.944,23,5,240.6
301,32,39,341.08,7,0.107,0.305,12,2,456.9
302,56,22,244.92,6,0.815,0.86,19,1,335.9
303,20,21,333.75,3,0.479,0.178,12,2,421.7
304,32,37,431.18,5,0.376,0.816,12,2,570.6
305,8,37,113.89,8,0.18,0.768,0,5,190.1
306,29,19,458.05,1,0.819,0.796,13,5,577.3
307,32,9,350.17,3,0.253,0.154,13,6,442.6
308,39,31,322.32,8,0.507,0.92,22,3,448.2
309,35,3,435.94,5,0.702,0.812,19,5,567.1
310,16,23,95.65,0,0.563,0.645,20,3,136.5
311,49,22,531.32,6,0.106,0.099,7,4,674.4
312,45,37,125.46,5,0.391,0.772,18,5,191.4
313,33,10,193.01,0,0.483,0.295,2,0,249.9
314,23,20,191.97,3,0.521,0.348,3,3,251.1
315,47,29,178.81,4,0.045,0.711,0,6,259.6
316,52,11,511.81,3,0.516,0.552,10,4,647.3
317,28,30,131.36,6,0.63,0.186,21,3,183.6
318,57,13,250.02,6,0.389,0.705,6,2,351.8
319,49,5,319.65,8,0.187,0.326,14,0,431.3
320,34,21,330.35,6,0.587,0.348,14,4,440.3
321,12,20,505.68,1,0.672,0.313,7,2,625.9
322,10,33,216.71,2,0.575,0.423,15,5,286.6
323,35,12,307.43,7,0.289,0.187,14,4,412.3
324,1,32,79.41,6,0.964,0.505,15,3,130.7
325,44,32,231.52,7,0.489,0.083,0,6,312.3
326,18,15,298.0,2,0.781,0.566,15,4,378.7
327,33,8,317.13,4,0.775,0.823,11,4,419.0
328,47,29,302.76,6,0.102,0.83,7,2,417.5
329,56,3,250.1,5,0.862,0.087,3,6,322.9
330,48,38,380.58,6,0.166,0.139,6,6,491.1
331,14,4,315.69,8,0.281,0.539,10,5,429.7
332,55,33,542.09,1,0.136,0.75,13,0,690.7
333,18,9,387.28,2,0.25,0.711,7,6,503.0
334,10,37,349.66,6,0.375,0.076,2,3,448.5
335,33,18,383.61,5,0.455,0.488,18,0,503.5
336,6,30,350.99,5,0.85,0.796,12,1,455.2
337,28,14,274.62,5,0.828,0.338,18,1,353.9
338,22,4,30.04,7,0.016,0.929,5,3,96.7
339,30,1,545.55,6,0.202,0.689,4,5,702.2
340,57,18,55.87,5,0.25,0.372,20,1,112.8
341,4,26,345.95,3,0.429,0.091,3,0,436.8
342,38,15,288.1,7,0.009,0.696,3,6,404.1
343,28,9,265.35,3,0.383,0.731,3,0,353.3
344,9,25,426.54,2,0.642,0.677,2,4,548.8
345,37,1,337.62,2,0.44,0.722,20,5,441.0
346,44,29,473.68,1,0.897,0.14,3,4,580.3
347,47,25,196.59,6,0.315,0.14,8,5,275.1
348,39,39,160.28,0,0.848,0.658,9,1,213.6
349,34,39,282.69,6,0.296,0.055,7,3,369.9
350,41,39,43.7,0,0.987,0.934,4,3,77.9
351,56,37,234.37,8,0.683,0.763,2,0,332.5
352,14,3,507.81,6,0.507,0.629,16,6,653.1
353,27,28,387.49,1,0.641,0.538,4,2,488.7
354,59,14,536.0,2,0.536,0.391,20,6,667.7
355,54,5,174.04,6,0.73,0.846,1,1,258.7
356,30,40,336.81,4,0.666,0.658,5,0,441.8
357,1,9,387.32,2,0.496,0.347,16,6,489.4
358,24,9,413.63,4,0.733,0.118,0,2,514.5
359,52,28,153.23,1,0.263,0.975,20,0,218.0
360,4,32,473.35,2,0.368,0.255,3,4,591.0
361,44,8,129.48,8,0.003,0.859,0,1,223.5
362,59,10,102.53,0,0.553,0.914,23,5,153.7
363,27,15,180.38,6,0.916,0.32,2,4,243.4
364,58,4,102.74,8,0.981,0.954,2,3,178.8
365,56,19,426.57,4,0.327,0.553,0,2,551.4
366,20,40,137.21,5,0.592,0.493,6,5,205.5
367,58,35,419.46,3,0.151,0.932,0,1,544.4
368,45,1,523.29,0,0.759,0.376,23,5,639.5
369,20,7,116.83,3,0.42,0.961,4,5,183.2
370,15,34,230.12,5,0.458,0.748,18,0,321.7
371,33,9,352.28,6,0.075,0.568,13,5,474.7
372,17,21,509.69,6,0.701,0.735,10,3,654.8
373,18,15,45.7,3,0.136,0.77,3,1,101.0
374,21,27,70.8,5,0.965,0.208,9,3,110.9
375,17,8,54.28,4,0.826,0.697,1,1,101.0
376,6,16,532.78,6,0.513,0.677,8,6,681.5
377,12,2,523.89,7,0.556,0.55,3,3,679.3
378,8,1,38.61,3,0.131,0.824,11,5,94.7
379,41,6,322.37,4,0.917,0.075,2,1,407.5
380,9,6,498.27,5,0.123,0.942,1,1,649.6
381,60,37,241.07,6,0.496,0.383,13,1,322.1
382,18,18,248.08,2,0.035,0.619,7,5,341.6
383,19,32,229.54,8,0.479,0.088,12,1,308.4
384,52,34,140.79,8,0.795,0.989,22,2,227.5
385,31,35,430.88,5,0.913,0.502,12,2,549.9
386,15,2,493.19,4,0.059,0.992,16,2,647.9
387,50,38,549.79,2,0.1,0.657,8,4,700.3
388,4,15,318.75,6,0.355,0.839,5,1,426.0
389,16,38,178.31,5,0.914,0.028,22,2,238.3
390,37,13,461.0,7,0.542,0.176,1,0,587.3
391,4,15,332.91,0,0.526,0.001,19,1,407.9
392,12,21,37.46,2,0.587,0.917,3,6,77.6
393,34,24,528.5,5,0.705,0.662,18,0,670.8
394,11,28,436.55,7,0.649,0.174,17,5,561.0
395,57,40,433.91,3,0.666,0.814,12,2,556.2
396,12,1,522.09,6,0.851,0.771,18,0,665.7
397,12,39,178.43,3,0.64,0.104,15,1,231.8
398,23,21,96.5,1,0.822,0.67,23,2,140.1
399,29,1,149.54,3,0.693,0.35,3,5,207.3
400,47,27,533.16,6,0.493,0.379,17,3,677.9
401,7,31,434.86,3,0.163,0.074,1,2,549.8
402,7,5,191.29,6,0.161,0.075,2,2,265.4
403,39,40,491.81,0,0.431,0.654,19,3,616.1
404,14,13,228.06,8,0.722,0.73,8,5,325.6
405,19,20,134.46,0,0.393,0.55,15,1,184.5
406,6,19,454.02,7,0.2,0.026,5,5,582.1
407,19,6,263.1,1,0.308,0.397,15,5,339.0
408,25,12,207.21,6,0.369,0.446,8,3,296.0
409,30,17,128.3,4,0.564,0.151,22,5,183.2
410,52,35,230.62,3,0.554,0.841,16,3,318.4
411,35,31,317.13,3,0.476,0.079,22,0,392.3
412,52,37,374.26,2,0.12,0.757,5,1,488.1
413,14,13,73.77,6,0.078,0.683,6,6,135.1
414,17,21,501.39,1,0.087,0.556,17,2,627.3
415,55,18,288.23,0,0.787,0.623,16,6,361.0
416,10,37,325.42,1,0.925,0.563,3,6,411.2
417,19,35,484.67,6,0.264,0.655,18,4,627.6
418,26,10,341.94,6,0.039,0.89,10,5,468.4
419,16,4,411.43,4,0.897,0.02,9,2,508.9
420,45,7,535.01,3,0.134,0.974,14,6,694.4
421,53,21,151.83,6,0.605,0.089,14,1,214.8
422,32,34,477.62,0,0.515,0.159,9,5,582.3
423,33,26,78.93,8,0.879,0.029,6,6,125.7
424,3,30,32.55,5,0.705,0.274,14,4,69.1
425,26,8,376.24,3,0.372,0.594,5,6,481.3
426,23,11,461.52,4,0.749,0.689,9,0,589.6
427,25,4,93.78,3,0.857,0.647,21,1,140.9
428,2,1,263.38,2,0.647,0.601,0,1,347.5
429,17,39,443.77,4,0.713,0.709,8,3,574.7
430,30,17,123.92,4,0.677,0.824,12,4,183.4
431,7,1,283.77,5,0.561,0.594,9,2,377.6
432,22,18,354.12,4,0.261,0.711,20,2,463.6
433,13,10,286.93,3,0.9,0.805,19,3,373.2
434,47,2,362.19,4,0.259,0.419,12,5,465.1
435,3,38,390.9,3,0.343,0.713,21,4,504.3
436,43,23,281.49,2,0.841,0.876,5,2,365.6
437,7,31,74.73,4,0.725,0.559,5,5,126.5
438,15,23,126.71,4,0.42,0.887,11,2,193.5
439,38,19,257.75,1,0.471,0.866,18,4,343.8
440,57,13,277.76,6,0.53,0.413,4,1,371.2
441,13,22,228.01,7,0.143,0.862,5,6,335.7
442,12,21,350.8,0,0.452,0.209,5,4,436.2
443,49,11,271.82,1,0.129,0.434,13,3,349.5
444,1,3,295.91,5,0.95,0.892,16,1,397.6
445,2,1,346.54,3,0.226,0.877,9,1,463.7
446,20,11,40.58,0,0.298,0.291,23,4,69.3
447,39,34,189.12,2,0.343,0.901,11,6,270.0
448,59,26,15.42,3,0.727,0.131,23,0,45.4
449,38,33,97.1,5,0.711,0.792,12,5,158.0
450,4,39,547.1,1,0.654,0.02,22,0,670.7
451,27,29,212.24,8,0.253,0.702,6,5,311.2
452,27,7,366.05,4,0.623,0.701,13,6,475.9
453,58,7,283.81,1,0.283,0.785,15,1,369.1
454,54,34,535.35,5,0.703,0.295,1,4,667.4
455,32,14,380.07,7,0.331,0.003,21,0,497.0
456,43,32,86.28,1,0.78,0.075,23,0,108.0
457,58,17,356.16,7,0.989,0.296,14,0,461.5
458,3,19,201.32,5,0.426,0.116,1,0,272.0
459,55,9,366.53,2,0.329,0.895,19,2,480.6
460,53,22,104.66,6,0.4,0.457,12,5,165.8
461,55,31,440.95,2,0.113,0.696,1,6,569.1
462,38,31,442.23,7,0.181,0.38,11,4,580.5
463,2,9,268.28,7,0.113,0.411,1,0,369.8
464,46,34,423.3,3,0.978,0.67,10,4,539.0
465,34,40,56.91,3,0.482,0.664,20,3,107.6
466,58,40,34.74,2,0.506,0.469,15,6,73.8
467,11,5,414.53,5,0.241,0.97,1,4,551.6
468,26,16,47.96,7,0.801,0.448,15,3,101.9
469,21,8,539.47,0,0.103,0.412,17,4,672.9
470,39,40,352.46,8,0.562,0.655,14,2,473.9
471,24,4,450.04,7,0.332,0.767,19,3,593.0
472,29,8,58.1,3,0.002,0.355,20,6,100.3
473,19,36,289.48,1,0.046,0.164,4,6,368.0
474,7,17,337.91,3,0.121,0.852,6,3,444.2
475,53,13,395.65,1,0.757,0.047,20,6,482.1
476,58,29,254.28,8,0.135,0.499,16,5,356.8
477,4,36,514.74,7,0.924,0.781,5,5,657.1
478,9,7,216.14,5,0.504,0.385,19,5,290.9
479,49,16,154.11,5,0.97,0.453,4,1,208.9
480,48,33,167.91,8,0.861,0.712,17,5,252.6
481,14,13,119.29,4,0.687,0.921,4,5,178.9
482,33,35,383.4,5,0.71,0.761,17,3,492.8
483,38,37,518.76,6,0.674,0.894,17,2,673.8
484,1,34,63.03,6,0.145,0.67,6,2,123.3
485,49,11,541.03,4,0.146,0.062,9,1,677.6
486,53,29,60.85,8,0.865,0.742,17,3,120.6
487,16,33,432.45,4,0.693,0.047,12,3,532.6
488,44,21,531.38,0,0.013,0.251,19,6,662.3
489,50,29,457.34,5,0.755,0.547,19,1,585.3
490,19,29,101.7,1,0.187,0.174,16,0,131.9
491,25,3,238.54,8,0.264,0.161,8,0,326.3
492,10,3,88.77,5,0.597,0.774,20,4,154.9
493,54,20,272.35,8,0.358,0.784,10,4,384.5
494,5,33,91.86,8,0.537,0.092,7,1,150.0
495,43,22,185.43,4,0.218,0.753,16,3,274.5
496,42,1,67.52,5,0.446,0.904,19,4,129.3
